senal_regulatoria,tema_estrategico,linea_pmge,tipo_insumo_agenda,relevancia_label,num_documentos,num_fuentes,fuentes,tecnologias,bandas_frecuencia,evidencia,relevancia_score_promedio,actividad_score_promedio,prioridad_score
Subasta multibanda de espectro en Eslovaquia,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"4G/LTE, 5G, FDD, TDD, Banda ancha móvil","800 MHz, 900 MHz, 1500 MHz SDL, 2.1 GHz, 2.6 GHz, Banda por debajo de 1 GHz","Disponibilidad de espectro para IMT; tecnologías: 4G/LTE, 5G, FDD, TDD; bandas: 800 MHz, 900 MHz, 1500 MHz SDL, 2.1 GHz.",10.0,3.0,13.0
Uso eficiente del espectro radioeléctrico y su regulación,Otros temas de seguimiento,Necesidades transversales,Seguimiento,Alta,1,1,Cullen International,"Telecomunicaciones, Redes inalámbricas, Redes móviles",3.7-4.2 GHz,"Otros temas de seguimiento; tecnologías: Telecomunicaciones, Redes inalámbricas, Redes móviles; bandas: 3.7-4.2 GHz.",10.0,3.0,13.0
Uso de TV White Spaces para banda ancha,Armonización y gestión internacional,Gestión internacional del espectro,Seguimiento,Alta,1,1,Cullen International,"TVWS, Radio cognitiva, Banda ancha inalámbrica, Servicios de Internet, Servicios fijos de voz y datos, Modem-router, CPE (Customer Premises Equipment), Sistema de televisión digital terrestre","54–72 MHz, 174–216 MHz, 470–608 MHz, 614–698 MHz, 512–608 MHz, 76–88 MHz, 657–663 MHz, 470–698 MHz, 470–488 MHz, 614–644 MHz, 644–698 MHz, 470–692 MHz, VHF, UHF, 600 MHz","Armonización y gestión internacional; tecnologías: TVWS, Radio cognitiva, Banda ancha inalámbrica, Servicios de Internet; bandas: 54–72 MHz, 174–216 MHz, 470–608 MHz, 614–698 MHz.",10.0,3.0,13.0
Subasta de espectro 5G y extensión de licencias en Turquía,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, Redes móviles, GSM","700 MHz, 3.5 GHz, 900 MHz, 1800 MHz","Disponibilidad de espectro para IMT; tecnologías: 5G, Redes móviles, GSM; bandas: 700 MHz, 3.5 GHz, 900 MHz, 1800 MHz.",10.0,3.0,13.0
Subasta de espectro AWS-3 en Estados Unidos,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"5G, IoT, Servicios móviles, Servicios inalámbricos fijos, Banda ancha móvil, Servicios avanzados basados en espectro","1695–1710 MHz, 1755–1780 MHz, 2155–2180 MHz, Banda AWS-3","Conectividad satelital, NTN y D2D; tecnologías: 5G, IoT, Servicios móviles, Servicios inalámbricos fijos; bandas: 1695–1710 MHz, 1755–1780 MHz, 2155–2180 MHz, Banda AWS-3.",10.0,3.0,13.0
Subasta de espectro AWS-3 en Estados Unidos para 5G e IoT,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, IoT, Advanced Wireless Services (AWS-3), Servicios inalámbricos avanzados, Redes móviles, Estaciones base","AWS-3 band, 1695–1710 MHz, 1755–1780 MHz, 2155–2180 MHz, Bandas medias","Disponibilidad de espectro para IMT; tecnologías: 5G, IoT, Advanced Wireless Services (AWS-3), Servicios inalámbricos avanzados; bandas: AWS-3 band, 1695–1710 MHz, 1755–1780 MHz, 2155–2180 MHz.",10.0,3.0,13.0
Subasta de espectro de 700 MHz en Brasil y obligaciones de cobertura,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"4G, 5G, Redes móviles","700 MHz, 3.5 GHz, Bandas bajo 1 GHz","Disponibilidad de espectro para IMT; tecnologías: 4G, 5G, Redes móviles; bandas: 700 MHz, 3.5 GHz, Bandas bajo 1 GHz.",10.0,3.0,13.0
Subasta de espectro en Austria para bandas 2.3 GHz y 2.6 GHz,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Redes móviles, 4G, 5G","2.3 GHz, 2.6 GHz","Disponibilidad de espectro para IMT; tecnologías: Redes móviles, 4G, 5G; bandas: 2.3 GHz, 2.6 GHz.",10.0,3.0,13.0
Subasta de espectro en Austria para bandas 2.3 GHz y 2.6 GHz y migración a TDD,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, LTE, FDD, TDD, Redes móviles","2.3 GHz, 2.6 GHz, 900 MHz, 1800 MHz, 2.1 GHz, 3.5 GHz, Band n41","Disponibilidad de espectro para IMT; tecnologías: 5G, LTE, FDD, TDD; bandas: 2.3 GHz, 2.6 GHz, 900 MHz, 1800 MHz.",10.0,3.0,13.0
Subasta de espectro en la banda de 1800 MHz en Suecia,Otros temas de seguimiento,Necesidades transversales,Seguimiento,Alta,1,1,Cullen International,Telecomunicaciones móviles,"1800 MHz, 1755–1780 MHz, 1850–1875 MHz, 1710–1720 MHz, 1805–1815 MHz","Otros temas de seguimiento; tecnologías: Telecomunicaciones móviles; bandas: 1800 MHz, 1755–1780 MHz, 1850–1875 MHz, 1710–1720 MHz.",10.0,3.0,13.0
Subasta de espectro en la banda de 1800 MHz en Suecia,Spectrum sharing y mecanismos flexibles,Innovación en gestión y uso del espectro,Nueva iniciativa,Alta,1,1,Cullen International,"Comunicaciones móviles, Banda ancha móvil","1800 MHz, 1710–1720 MHz, 1805–1815 MHz, 1755–1780 MHz, 1850–1875 MHz","Spectrum sharing y mecanismos flexibles; tecnologías: Comunicaciones móviles, Banda ancha móvil; bandas: 1800 MHz, 1710–1720 MHz, 1805–1815 MHz, 1755–1780 MHz.",10.0,3.0,13.0
Subasta de espectro mmWave en el Reino Unido,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,2,1,Cullen International,"mmWave, 5G, Wireless Telegraphy, Redes móviles","26 GHz, 40 GHz, 25.1–27.5 GHz, 40.5–43.5 GHz, 24.45–25.1 GHz, 25.1-27.5 GHz, 40.5-43.5 GHz, 24.45-25.1 GHz, mmWave","Disponibilidad de espectro para IMT; tecnologías: mmWave, 5G, Wireless Telegraphy; bandas: 26 GHz, 40 GHz, 25.1–27.5 GHz, 40.5–43.5 GHz., Disponibilidad de espectro para IMT; tecnologías: mmWave, 5G, Redes móviles; bandas: 26 GHz, 40 GHz, 25.1-27.5 GHz, 40.5-43.5 GHz.",10.0,3.0,13.0
Subasta de espectro móvil de 700 MHz en Bangladesh y desafíos regulatorios,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"4G, 5G, 2G, Mobile broadband","700 MHz, 1800 MHz, 2100 MHz, 2300 MHz, 2600 MHz, 800 MHz, 900 MHz, 3.5 GHz","Disponibilidad de espectro para IMT; tecnologías: 4G, 5G, 2G, Mobile broadband; bandas: 700 MHz, 1800 MHz, 2100 MHz, 2300 MHz.",10.0,3.0,13.0
Subasta de espectro radioeléctrico en Brasil para servicios móviles y fijos,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Servicios móviles, Servicios fijos, Conectividad","700 MHz, 3.5 GHz","Disponibilidad de espectro para IMT; tecnologías: Servicios móviles, Servicios fijos, Conectividad; bandas: 700 MHz, 3.5 GHz.",10.0,3.0,13.0
Subasta de espectro residual y regulación en Canadá,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"PCS, Tecnologías móviles","1900 MHz (PCS), 2.3 GHz, 3.5 GHz, 3.8 GHz","Disponibilidad de espectro para IMT; tecnologías: PCS, Tecnologías móviles; bandas: 1900 MHz (PCS), 2.3 GHz, 3.5 GHz, 3.8 GHz.",10.0,3.0,13.0
Modificación de asignación de espectro en Chile para conectividad satelital directa a dispositivo (D2D),"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"D2D, Mobile Satellite Service (MSS), Conectividad satelital","703–748 MHz, 758–803 MHz, 824–849 MHz, 869–894 MHz, 1710–1770 MHz, 1850–1990 MHz, 2110–2160 MHz, 2500–2690 MHz","Conectividad satelital, NTN y D2D; tecnologías: D2D, Mobile Satellite Service (MSS), Conectividad satelital; bandas: 703–748 MHz, 758–803 MHz, 824–849 MHz, 869–894 MHz.",10.0,3.0,13.0
Paraguay aumenta el espectro disponible para 5G en la banda de 3.5 GHz,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"5G, IMT, Fixed-Satellite Service (FSS)","3.5 GHz, 3.7–3.8 GHz, 3.3–3.7 GHz, 3.8–4.2 GHz, 3.3–3.8 GHz, 3.4–3.7 GHz, 3.3–3.4 GHz, Below 1 GHz, 6 GHz","Conectividad satelital, NTN y D2D; tecnologías: 5G, IMT, Fixed-Satellite Service (FSS); bandas: 3.5 GHz, 3.7–3.8 GHz, 3.3–3.7 GHz, 3.8–4.2 GHz.",10.0,3.0,13.0
Obligaciones de cobertura y otras condiciones asociadas a los derechos de espectro,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"4G, 5G, 3G, 2G, Conectividad móvil, Banda ancha fija y móvil, LTE","700 MHz, 2.6 GHz, 3.5 GHz, 2.5 GHz, 450 MHz, 2.3 GHz, 26 GHz, AWS-3 (1700-2100 MHz), 2500 MHz, 600 MHz, 3.8 GHz","Conectividad satelital, NTN y D2D; tecnologías: 4G, 5G, 3G, 2G; bandas: 700 MHz, 2.6 GHz, 3.5 GHz, 2.5 GHz.",10.0,3.0,13.0
Obligaciones de cobertura móvil más complejas en Europa,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Redes móviles, GSM, 5G","700 MHz, 800 MHz","Disponibilidad de espectro para IMT; tecnologías: Redes móviles, GSM, 5G; bandas: 700 MHz, 800 MHz.",10.0,3.0,13.0
Obligaciones de cobertura en la asignación de espectro,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"GSM, Banda ancha móvil, 5G, 4G, 2G, 3G","800 MHz, 700 MHz, 3.6-3.8 GHz, 450 MHz, 900 MHz, 1800 MHz, 2.1 GHz, 3.5 GHz, 26 GHz, 2.3 GHz, 2.6 GHz","Disponibilidad de espectro para IMT; tecnologías: GSM, Banda ancha móvil, 5G, 4G; bandas: 800 MHz, 700 MHz, 3.6-3.8 GHz, 450 MHz.",10.0,3.0,13.0
Obligaciones de cobertura y otras condiciones en derechos de espectro,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"4G, 5G, 2G, 3G, Redes móviles, Fibra óptica, MVNO, Compartición de infraestructura, Roaming nacional","700 MHz, 2.6 GHz, 3.5 GHz, 450 MHz, 2.3 GHz, 26 GHz, AWS-3 (1700–2100 MHz), 600 MHz, 3.8 GHz","Disponibilidad de espectro para IMT; tecnologías: 4G, 5G, 2G, 3G; bandas: 700 MHz, 2.6 GHz, 3.5 GHz, 450 MHz.",10.0,3.0,13.0
Preparación de la posición común de la UE para la CMR-27 sobre espectro móvil y D2D,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"IMT, D2D, Mobile Satellite Service (MSS), 3G, 4G, 5G, 6G, Digital Terrestrial Television (DTT), Radio altimeters, Satellite services, Air traffic systems, Weather radar, Terrestrial IMT networks, Satellite systems/networks","4400–4800 MHz, 7125–8400 MHz, 14.8–15.35 GHz, 7125–7250 MHz, 700 MHz, 614–694 MHz, 608–614 MHz, 470–694 MHz, 1427–1432 MHz, 1645.5–1646.5 MHz, 1880–1920 MHz, 2010–2025 MHz, 694/698–960 MHz, 1427–1518 MHz, 1710–2200 MHz, 2300–2400 MHz, 2500–2690 MHz, 2120–2160 MHz, 2160–2170 MHz, 2110–2120 MHz, Below 2.7 GHz","Conectividad satelital, NTN y D2D; tecnologías: IMT, D2D, Mobile Satellite Service (MSS), 3G; bandas: 4400–4800 MHz, 7125–8400 MHz, 14.8–15.35 GHz, 7125–7250 MHz.",10.0,3.0,13.0
Propuesta de la FCC para reasignar y subastar la banda 3.98-4.2 GHz en EE. UU.,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, 6G, Fixed Wireless Access (FWA), Servicios móviles terrestres, Fixed Satellite Service (FSS), Radio altímetros","3.98–4.2 GHz, 3.7–3.98 GHz, 4.2–4.4 GHz, C-band, Mid-band spectrum, 3.98–4.16 GHz, 3.98–4.08 GHz, 4–8 GHz","Disponibilidad de espectro para IMT; tecnologías: 5G, 6G, Fixed Wireless Access (FWA), Servicios móviles terrestres; bandas: 3.98–4.2 GHz, 3.7–3.98 GHz, 4.2–4.4 GHz, C-band.",10.0,3.0,13.0
Propuesta de la UE para la regulación de la banda de 2 GHz para servicios móviles por satélite,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"Mobile Satellite Services (MSS), NB-IoT, D2D, IRIS², EU Critical Communication System (EUCCS), Sistemas híbridos",Banda de 2 GHz (1980–2010/2170–2200 MHz),"Conectividad satelital, NTN y D2D; tecnologías: Mobile Satellite Services (MSS), NB-IoT, D2D, IRIS²; bandas: Banda de 2 GHz (1980–2010/2170–2200 MHz).",10.0,3.0,13.0
Políticas de extensión y renovación de licencias de espectro en la UE,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Banda ancha móvil, 5G","700 MHz, 3.5 GHz, 900 MHz, 1800 MHz, 2.6 GHz, 2 GHz, 800 MHz, 2.1 GHz, 6 GHz, 3.6-3.8 GHz, 26 GHz","Disponibilidad de espectro para IMT; tecnologías: Banda ancha móvil, 5G; bandas: 700 MHz, 3.5 GHz, 900 MHz, 1800 MHz.",10.0,3.0,13.0
Posición común de la UE para la Conferencia Mundial de Radiocomunicaciones (WRC-27),"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"5G, 6G, IMT (International Mobile Telecommunications), D2D, NGSO (Non-Geostationary) systems, Satélites, FSS (Fixed Satellite Service), MSS (Mobile Satellite Service), EESS (Earth Exploration Satellite Service), Comunicaciones móviles a bordo (aeronáuticas y marítimas), Radio altimeters, UWB (Ultra-Wide Band)","6 GHz, 47.2–50.2 GHz, 50.4–51.4 GHz, 13.75–14 GHz, 4400–4800 MHz, 7125–8400 MHz, 14.8–15.35 GHz, 1427–1432 MHz, 1645.5–1646.5 MHz, 1880–1920 MHz, 2010–2025 MHz, 694/698–960 MHz, 1427–1518 MHz, 1710–2200 MHz, 2300–2400 MHz, 2500–2690 MHz, 2120–2160 MHz, 2160–2170 MHz, Above 76 GHz, Above 86 GHz, 4200–4400 MHz, 8400–8500 MHz, 614–694 MHz, 608–614 MHz, 470–694 MHz, 700 MHz, UHF","Conectividad satelital, NTN y D2D; tecnologías: 5G, 6G, IMT (International Mobile Telecommunications), D2D; bandas: 6 GHz, 47.2–50.2 GHz, 50.4–51.4 GHz, 13.75–14 GHz.",10.0,3.0,13.0
Políticas de espectro para la digitalización y redes locales,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,GSMA,"5G, 5G-Advanced, 6G, IoT, NB-IoT, Redes privadas, Redes no públicas, Network Slicing, IA, Cloud storage, Cloud computing, Conectividad inalámbrica, Redes locales","Mid-bands, mmWave, High-band spectrum, Low bands (<1 GHz), Coverage bands","Disponibilidad de espectro para IMT; tecnologías: 5G, 5G-Advanced, 6G, IoT; bandas: Mid-bands, mmWave, High-band spectrum, Low bands (<1 GHz).",10.0,3.0,13.0
Políticas de espectro y objetivos nacionales de 5G en Europa,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, 6G, FTTH, Gigabit network, Mobile broadband, 3G, 4G, DTT, Next-generation wireless high-speed networks","700 MHz, 3.4–3.8 GHz, 26 GHz, 470–694 MHz, 2.1 GHz, Low bands, Mid bands, High bands","Disponibilidad de espectro para IMT; tecnologías: 5G, 6G, FTTH, Gigabit network; bandas: 700 MHz, 3.4–3.8 GHz, 26 GHz, 470–694 MHz.",10.0,3.0,13.0
Planificación y asignación de espectro móvil en Brasil para 2026-2036,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"International Mobile Telecommunications (IMT), 5G, Future Railway Mobile Communication Systems (FRMCS)","6 GHz, 850 MHz, 2.3 GHz, 2.6 GHz, 3.5 GHz, 26 GHz, 900 MHz, 1800 MHz, 1500 MHz, 1900 MHz (TDD), 4.9 GHz, 2.1 GHz, 10.5 GHz, 450 MHz, Bandas bajas, Bandas medias, Bandas altas","Disponibilidad de espectro para IMT; tecnologías: International Mobile Telecommunications (IMT), 5G, Future Railway Mobile Communication Systems (FRMCS); bandas: 6 GHz, 850 MHz, 2.3 GHz, 2.6 GHz.",10.0,3.0,13.0
Plan de gestión del espectro y agenda regulatoria de Colombia 2026-2030,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"IMT, D2D, Redes satelitales, Enlaces de microondas, Redes privadas, 5G, Spectrum sharing","7/8 GHz, 440-470 MHz, 450 MHz, 600 MHz","Conectividad satelital, NTN y D2D; tecnologías: IMT, D2D, Redes satelitales, Enlaces de microondas; bandas: 7/8 GHz, 440-470 MHz, 450 MHz, 600 MHz.",10.0,3.0,13.0
Plan de Subasta de Espectro en México para Banda Ancha Móvil y 5G,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, Banda Ancha Móvil, Redes inalámbricas","600 MHz, 800 MHz, 1.9 GHz PCS, 2.5 GHz, AWS, Band L","Disponibilidad de espectro para IMT; tecnologías: 5G, Banda Ancha Móvil, Redes inalámbricas; bandas: 600 MHz, 800 MHz, 1.9 GHz PCS, 2.5 GHz.",10.0,3.0,13.0
Plan Nacional de Espectro Radioeléctrico de México 2026-2030,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, 6G, IoT, IMT, Servicios móviles, Radiodifusión","600 MHz, 800 MHz, 1.9 GHz (PCS), 2.5 GHz, Bandas bajas","Disponibilidad de espectro para IMT; tecnologías: 5G, 6G, IoT, IMT; bandas: 600 MHz, 800 MHz, 1.9 GHz (PCS), 2.5 GHz.",10.0,3.0,13.0
Regulación de límites de espectro (spectrum caps) para preservar la competencia,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, 4G, Comunicaciones móviles, Wireless Local Loop (WLL)","700 MHz, 3.5 GHz, 3.4-3.8 GHz, 3.6-3.8 GHz, 6 GHz, 900 MHz, 1800 MHz, 2.1 GHz, 2.6 GHz, 2600 MHz, 26 GHz, 26.5-27.5 GHz, 2.3 GHz, 1427-1517 MHz, 1500 MHz, 1452-1492 MHz, 800 MHz, Sub-1 GHz, mmWave","Disponibilidad de espectro para IMT; tecnologías: 5G, 4G, Comunicaciones móviles, Wireless Local Loop (WLL); bandas: 700 MHz, 3.5 GHz, 3.4-3.8 GHz, 3.6-3.8 GHz.",10.0,3.0,13.0
Regulación de la banda de 6 GHz para Wi-Fi en Paraguay,"6 GHz, Wi-Fi e IMT",Disponibilidad de espectro,Seguimiento,Alta,1,1,Cullen International,"Wi-Fi, Aplicaciones de baja potencia (LPI), Aplicaciones de muy baja potencia (VLP)","6 GHz, 5925–6425 MHz, 5925–7125 MHz","6 GHz, Wi-Fi e IMT; tecnologías: Wi-Fi, Aplicaciones de baja potencia (LPI), Aplicaciones de muy baja potencia (VLP); bandas: 6 GHz, 5925–6425 MHz, 5925–7125 MHz.",10.0,3.0,13.0
Regulación de bandas milimétricas para 5G en Europa,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"5G, Redes móviles, FWA, Industry 4.0, Campus solutions, Wi-Fi, SRD, Fixed links, Point-to-point, Point-to-multipoint, Radar, Telemetry, Servicios satelitales","26 GHz, 24.25–27.5 GHz, 700 MHz, 3.4–3.8 GHz, 40.5–43.5 GHz, 66–71 GHz, 57–71 GHz, 57–66 GHz, 60 GHz, 37–43.5 GHz, 45.5–47.0 GHz, 47.2–48.2 GHz, 37.5–40.5 GHz, 25.5–25.9 GHz, 26.5–27.5 GHz, 24.3–24.9 GHz, 25,081–25,445 MHz, 26,089–26,453 MHz, 24.65–27.5 GHz, 24.25–24.65 GHz, 57–59 GHz, 59–71 GHz, 25.1–27.5 GHz, 24.25–25.1 GHz, 24.65–25.25 GHz, 24.5–26.45 GHz, 24.5–26.5 GHz, 24.7–27.1 GHz, 24.3–24.7 GHz, 27.1–27.5 GHz","Conectividad satelital, NTN y D2D; tecnologías: 5G, Redes móviles, FWA, Industry 4.0; bandas: 26 GHz, 24.25–27.5 GHz, 700 MHz, 3.4–3.8 GHz.",10.0,3.0,13.0
Regulación de comunicaciones satelitales Direct-to-Device (D2D) en bandas IMT en Chile,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"D2D, IMT (International Mobile Telecommunications), Redes satelitales, Redes móviles terrestres, Roaming móvil",Bandas IMT,"Conectividad satelital, NTN y D2D; tecnologías: D2D, IMT (International Mobile Telecommunications), Redes satelitales, Redes móviles terrestres; bandas: Bandas IMT.",10.0,3.0,13.0
Reforma regulatoria europea y gestión del espectro para el futuro de las telecomunicaciones,"6 GHz, Wi-Fi e IMT",Disponibilidad de espectro,Seguimiento,Alta,1,1,Cullen International,"6G, Redes móviles",6 GHz,"6 GHz, Wi-Fi e IMT; tecnologías: 6G, Redes móviles; bandas: 6 GHz.",10.0,3.0,13.0
Reducción del límite de espectro 5G en Argentina,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, IMT","1427–1518 MHz, 3.5 GHz","Disponibilidad de espectro para IMT; tecnologías: 5G, IMT; bandas: 1427–1518 MHz, 3.5 GHz.",10.0,3.0,13.0
Regulación de bandas Wi-Fi en Europa,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Wi-Fi, IEEE 802.11, Bluetooth, Zigbee, LTE, 5G, WAS/RLANs, SRD","2.4 GHz, 5 GHz, 6 GHz, 60 GHz, 863–868 MHz, 902–928 MHz, 3655–3695 MHz, 4900–5000 MHz, 5725–5875 MHz, 5875–5935 MHz","Disponibilidad de espectro para IMT; tecnologías: Wi-Fi, IEEE 802.11, Bluetooth, Zigbee; bandas: 2.4 GHz, 5 GHz, 6 GHz, 60 GHz.",10.0,3.0,13.0
Regulación complementaria para asignación directa de espectro 5G en Perú,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, Telecomunicaciones","3.5 GHz, 26 GHz, 3400–3600 MHz, Bandas altas","Disponibilidad de espectro para IMT; tecnologías: 5G, Telecomunicaciones; bandas: 3.5 GHz, 26 GHz, 3400–3600 MHz, Bandas altas.",10.0,3.0,13.0
Reducción de ancho de banda para servicios satelitales móviles en 2 GHz,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"Servicios satelitales móviles (MSS), IMT, Satélites","2 GHz band, 1990–2025/2170–2200 MHz, 1980–2025 MHz, 2170–2200 MHz, 1850–1910/930–1990 MHz","Conectividad satelital, NTN y D2D; tecnologías: Servicios satelitales móviles (MSS), IMT, Satélites; bandas: 2 GHz band, 1990–2025/2170–2200 MHz, 1980–2025 MHz, 2170–2200 MHz.",10.0,3.0,13.0
Reasignación masiva de espectro en EE. UU. por EchoStar a AT&T y SpaceX,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"5G, Direct-to-Cell (D2C), Mobile Virtual Network Operator (MVNO), LTE, Starlink, NTN, Tecnología satelital","3.5 GHz, 600 MHz, AWS-4 (2000–2020/2180–2200 MHz), H block (1915–1920/1995–2000 MHz), 700 MHz, AWS (1710-1755/2110-2155 MHz, 1710-1780/2110-2200 MHz), 40 GHz, 47 GHz, 1900 MHz, 5G band n252, LTE band 25, LTE band 4, 5G band n4, LTE band 66, 5G band n66, LTE bands 2 and 25, 5G band n2 and n25","Conectividad satelital, NTN y D2D; tecnologías: 5G, Direct-to-Cell (D2C), Mobile Virtual Network Operator (MVNO), LTE; bandas: 3.5 GHz, 600 MHz, AWS-4 (2000–2020/2180–2200 MHz), H block (1915–1920/1995–2000 MHz).",10.0,3.0,13.0
Reasignación de licencias locales de espectro en Eslovenia,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Servicios de comunicación electrónica inalámbrica, PMSE, Redes privadas","2.3 GHz, 2300–2320 MHz, 2320–2330 MHz, 3.5 GHz, 3400–3420 MHz, 3400–3410 MHz, 3410–3420 MHz, 2390–2400 MHz","Disponibilidad de espectro para IMT; tecnologías: Servicios de comunicación electrónica inalámbrica, PMSE, Redes privadas; bandas: 2.3 GHz, 2300–2320 MHz, 2320–2330 MHz, 3.5 GHz.",10.0,3.0,13.0
Procesos de refarming y gestión del espectro radioeléctrico en América,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"2G, 3G, 4G, 5G, IMT (International Mobile Telecommunications), Servicios móviles, Servicios satelitales, Banda ancha inalámbrica, Sistemas de radio troncalizado","600 MHz, 700 MHz, 6 GHz, 3.5 GHz, 3.3–3.4 GHz, 3.6–3.7 GHz, 3475–3650 MHz, 3625–3700 MHz, 900 MHz, 905–915 MHz, 950–960 MHz, 890–960 MHz, 902–940 MHz, 947–960 MHz, 2.6 GHz, 2.5 GHz, 3.8 GHz, 850 MHz, SMR 806–824 MHz, SMR 851–869 MHz, 2.3 GHz, 2300–2330 MHz, 3.7–4.2 GHz, 12–18 GHz, 410–4230 MHz","Conectividad satelital, NTN y D2D; tecnologías: 2G, 3G, 4G, 5G; bandas: 600 MHz, 700 MHz, 6 GHz, 3.5 GHz.",10.0,3.0,13.0
Propuesta regulatoria para redes privadas IMT en Colombia,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"IMT, 5G, Redes privadas, FDD, TDD","410 MHz, 900 MHz, 3.5 GHz, 26 GHz","Conectividad satelital, NTN y D2D; tecnologías: IMT, 5G, Redes privadas, FDD; bandas: 410 MHz, 900 MHz, 3.5 GHz, 26 GHz.",10.0,3.0,13.0
Regulación y prácticas de 'spectrum trading' en Europa,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Broadband wireless access (BWA), 5G, Redes móviles","800 MHz, 900 MHz, 1800 MHz, 2.1 GHz, 2.6 GHz, 3.4–3.8 GHz, 3.5 GHz, 10.5 GHz, 700 MHz, 2.3 GHz, 24.5–26.5 GHz, 26 GHz","Disponibilidad de espectro para IMT; tecnologías: Broadband wireless access (BWA), 5G, Redes móviles; bandas: 800 MHz, 900 MHz, 1800 MHz, 2.1 GHz.",10.0,3.0,13.0
